"","Tournament_Game","Year","Month","Day","Team1_Score","Team2_Score","Team1_Seed","Team1","Team2_Seed","Team2"
"1","NCAA, East - First Round","2011","3","15",70,52,12,"Clemson",12,"UAB"
"2","NCAA, Southeast - First Round","2011","3","15",81,77,16,"UNC Asheville",16,"Little Rock"
"3","NCAA, Southwest - First Round","2011","3","16",59,46,11,"VCU",11,"USC"
"4","NCAA, East - First Round","2011","3","16",70,61,16,"UTSA",16,"Alabama State"
"5","NCAA, Southeast - Second Round","2011","3","17",74,51,1,"Pitt",16,"UNC Asheville"
"6","NCAA, Southeast - Second Round","2011","3","17",79,51,2,"Florida",15,"UCSB"
"7","NCAA, West - Second Round","2011","3","17",68,50,2,"San Diego State",15,"Northern Colorado"
"8","NCAA, West - Second Round","2011","3","17",81,52,3,"UConn",14,"Bucknell"
"9","NCAA, Southeast - Second Round","2011","3","17",66,74,14,"Wofford",3,"BYU"
"10","NCAA, Southwest - Second Round","2011","3","17",62,61,13,"Morehead State",4,"Louisville"
"11","NCAA, East - Second Round","2011","3","17",57,59,13,"Princeton",4,"Kentucky"
"12","NCAA, Southeast - Second Round","2011","3","17",72,58,4,"Wisconsin",13,"Belmont"
"13","NCAA, Southeast - Second Round","2011","3","17",68,73,12,"Utah State",5,"Kansas State"
"14","NCAA, Southwest - Second Round","2011","3","17",66,69,5,"Vanderbilt",12,"Richmond"
"15","NCAA, East - Second Round","2011","3","17",84,76,5,"West Virginia",12,"Clemson"
"16","NCAA, West - Second Round","2011","3","17",63,78,11,"Missouri",6,"Cincinnati"
"17","NCAA, Southeast - Second Round","2011","3","17",71,86,6,"St Johns NY",11,"Gonzaga"
"18","NCAA, West - Second Round","2011","3","17",66,64,7,"Temple",10,"Penn State"
"19","NCAA, Southeast - Second Round","2011","3","17",78,76,7,"UCLA",10,"Michigan State"
"20","NCAA, Southeast - Second Round","2011","3","17",58,60,9,"Old Dominion",8,"Butler"
"21","NCAA, West - Second Round","2011","3","18",45,87,16,"Hampton",1,"Duke"
"22","NCAA, Southwest - Second Round","2011","3","18",72,53,1,"Kansas",16,"Boston University"
"23","NCAA, East - Second Round","2011","3","18",46,75,16,"UTSA",1,"Ohio State"
"24","NCAA, East - Second Round","2011","3","18",102,87,2,"UNC",15,"LIU"
"25","NCAA, Southwest - Second Round","2011","3","18",69,56,2,"Notre Dame",15,"Akron"
"26","NCAA, Southwest - Second Round","2011","3","18",43,65,14,"St Peters",3,"Purdue"
"27","NCAA, East - Second Round","2011","3","18",77,60,3,"Syracuse",14,"Indiana State"
"28","NCAA, West - Second Round","2011","3","18",85,81,4,"Texas",13,"Oakland"
"29","NCAA, West - Second Round","2011","3","18",75,77,12,"Memphis",5,"Arizona"
"30","NCAA, Southwest - Second Round","2011","3","18",74,56,11,"VCU",6,"Georgetown"
"31","NCAA, East - Second Round","2011","3","18",55,66,6,"Xavier",11,"Marquette"
"32","NCAA, Southwest - Second Round","2011","3","18",50,57,7,"Texas AM",10,"Florida State"
"33","NCAA, East - Second Round","2011","3","18",68,65,7,"Washington",10,"Georgia"
"34","NCAA, Southwest - Second Round","2011","3","18",62,73,8,"UNLV",9,"Illinois"
"35","NCAA, West - Second Round","2011","3","18",45,75,9,"Tennessee",8,"Michigan"
"36","NCAA, East - Second Round","2011","3","18",57,61,9,"Villanova",8,"George Mason"
"37","NCAA, Southeast - Third Round","2011","3","19",70,71,1,"Pitt",8,"Butler"
"38","NCAA, West - Third Round","2011","3","19",64,71,7,"Temple",2,"San Diego State"
"39","NCAA, Southeast - Third Round","2011","3","19",65,73,7,"UCLA",2,"Florida"
"40","NCAA, West - Third Round","2011","3","19",69,58,3,"UConn",6,"Cincinnati"
"41","NCAA, Southeast - Third Round","2011","3","19",67,89,11,"Gonzaga",3,"BYU"
"42","NCAA, East - Third Round","2011","3","19",63,71,5,"West Virginia",4,"Kentucky"
"43","NCAA, Southeast - Third Round","2011","3","19",70,65,4,"Wisconsin",5,"Kansas State"
